#APS Storage Ring History, measured on 2013-07-09
#S:SRtimeCP      S:SRcurrentCP
#time, hr       	current, mA     
-23.9833       	101.963        
-23.9667       	102.175        
-23.95         	102.181        
-23.9333       	102.186        
-23.9167       	102.185        
-23.9          	102.339        
-23.8833       	102.052        
-23.8667       	102.046        
-23.85         	102.045        
-23.8333       	102.037        
-23.8167       	102.008        
-23.8          	102.008        
-23.7833       	102.013        
-23.7667       	102.175        
-23.75         	102.168        
-23.7333       	102.16         
-23.7167       	102.37         
-23.7          	102.075        
-23.6833       	102.061        
-23.6667       	102.043        
-23.65         	102.027        
-23.6333       	102.013        
-23.6167       	102.151        
-23.6          	102.136        
-23.5833       	102.124        
-23.5667       	102.316        
-23.55         	102.024        
-23.5333       	102.009        
-23.5167       	102            
-23.5          	102.183        
-23.4833       	102.177        
-23.4667       	102.156        
-23.45         	102.138        
-23.4333       	102.128        
-23.4167       	102.239        
-23.4          	102.228        
-23.3833       	102.222        
-23.3667       	102.194        
-23.35         	102.302        
-23.3333       	102.008        
-23.3167       	102.012        
-23.3          	102.243        
-23.2833       	102.234        
-23.2667       	102.241        
-23.25         	102.239        
-23.2333       	102.245        
-23.2167       	102.251        
-23.2          	102.44         
-23.1833       	102.156        
-23.1667       	102.167        
-23.15         	102.166        
-23.1333       	102.204        
-23.1167       	102.189        
-23.1          	102.188        
-23.0833       	102.361        
-23.0667       	102.08         
-23.05         	102.071        
-23.0333       	102.074        
-23.0167       	102.066        
-23            	102.209        
-22.9833       	102.21         
-22.9667       	102.207        
-22.95         	102.359        
-22.9333       	102.078        
-22.9167       	102.07         
-22.9          	102.065        
-22.8833       	102.215        
-22.8667       	102.216        
-22.85         	102.218        
-22.8333       	102.232        
-22.8167       	102.222        
-22.8          	102.417        
-22.7833       	102.138        
-22.7667       	102.116        
-22.75         	102.126        
-22.7333       	102.109        
-22.7167       	102.224        
-22.7          	102.222        
-22.6833       	102.218        
-22.6667       	102.394        
-22.65         	102.105        
-22.6333       	102.109        
-22.6167       	102.109        
-22.6          	102.285        
-22.5833       	102            
-22.5667       	101.997        
-22.55         	101.986        
-22.5333       	101.96         
-22.5167       	102.117        
-22.5          	102.111        
-22.4833       	102.107        
-22.4667       	102.099        
-22.45         	102.258        
-22.4333       	102.272        
-22.4167       	102.277        
-22.4          	102.005        
-22.3833       	102.144        
-22.3667       	102.135        
-22.35         	102.13         
-22.3333       	102.075        
-22.3167       	102.224        
-22.3          	102.215        
-22.2833       	102.203        
-22.2667       	102.213        
-22.25         	102.381        
-22.2333       	102.098        
-22.2167       	102.091        
-22.2          	102.081        
-22.1833       	102.194        
-22.1667       	102.19         
-22.15         	102.185        
-22.1333       	102.168        
-22.1167       	102.146        
-22.1          	102.31         
-22.0833       	102.022        
-22.0667       	102.02         
-22.05         	102.004        
-22.0333       	102.142        
-22.0167       	102.125        
-22            	102.116        
-21.9833       	102.067        
-21.9667       	102.259        
-21.95         	102.248        
-21.9333       	102.254        
-21.9167       	102.256        
-21.9          	102.388        
-21.8833       	102.099        
-21.8667       	102.077        
-21.85         	102.066        
-21.8333       	102.167        
-21.8167       	102.163        
-21.8          	102.155        
-21.7833       	102.133        
-21.7667       	102.267        
-21.75         	102.263        
-21.7333       	102.256        
-21.7167       	102.254        
-21.7          	102.475        
-21.6833       	102.184        
-21.6667       	102.173        
-21.65         	102.166        
-21.6333       	102.139        
-21.6167       	102.313        
-21.6          	102.024        
-21.5833       	102.013        
-21.5667       	102.006        
-21.55         	102.181        
-21.5333       	102.186        
-21.5167       	102.205        
-21.5          	102.216        
-21.4833       	102.236        
-21.4667       	102.523        
-21.45         	102.238        
-21.4333       	102.265        
-21.4167       	102.291        
-21.4          	102.008        
-21.3833       	101.999        
-21.3667       	102.178        
-21.35         	102.195        
-21.3333       	102.213        
-21.3167       	102.448        
-21.3          	102.168        
-21.2833       	102.19         
-21.2667       	102.203        
-21.25         	102.212        
-21.2333       	102.225        
-21.2167       	102.45         
-21.2          	102.167        
-21.1833       	102.199        
-21.1667       	102.226        
-21.15         	102.235        
-21.1333       	102.497        
-21.1167       	102.215        
-21.1          	102.237        
-21.0833       	102.251        
-21.0667       	102.259        
-21.05         	102.511        
-21.0333       	102.227        
-21.0167       	102.19         
-21            	102.212        
-20.9833       	102.239        
-20.9667       	102.258        
-20.95         	102.498        
-20.9333       	102.218        
-20.9167       	102.232        
-20.9          	102.242        
-20.8833       	102.1          
-20.8667       	102.353        
-20.85         	102.078        
-20.8333       	102.103        
-20.8167       	102.117        
-20.8          	102.114        
-20.7833       	102.383        
-20.7667       	102.1          
-20.75         	102.131        
-20.7333       	102.153        
-20.7167       	102.174        
-20.7          	102.183        
-20.6833       	102.414        
-20.6667       	102.135        
-20.65         	102.148        
-20.6333       	102.166        
-20.6167       	102.185        
-20.6          	102.433        
-20.5833       	102.15         
-20.5667       	102.149        
-20.55         	102.168        
-20.5333       	102.197        
-20.5167       	102.353        
-20.5          	102.075        
-20.4833       	102.092        
-20.4667       	102.098        
-20.45         	102.116        
-20.4333       	102.41         
-20.4167       	102.129        
-20.4          	102.15         
-20.3833       	102.164        
-20.3667       	102.186        
-20.35         	102.393        
-20.3333       	102.109        
-20.3167       	102.131        
-20.3          	102.156        
-20.2833       	102.161        
-20.2667       	102.392        
-20.25         	102.113        
-20.2333       	102.104        
-20.2167       	102.092        
-20.2          	102.09         
-20.1833       	102.276        
-20.1667       	101.988        
-20.15         	101.957        
-20.1333       	101.948        
-20.1167       	101.916        
-20.1          	102.065        
-20.0833       	102.064        
-20.0667       	102.064        
-20.05         	102.065        
-20.0333       	102.193        
-20.0167       	102.173        
-20            	102.165        
-19.9833       	102.163        
-19.9667       	102.309        
-19.95         	102.027        
-19.9333       	102.002        
-19.9167       	102            
